,Word,Freq
458,statement,168
459,champion,167
460,safe,167
461,syria,167
462,healthcare,167
463,public,167
464,sign,167
465,sunday,166
466,club,166
467,star,166
468,plan,164
469,given,164
470,stand,164
471,makes,164
472,fighting,164
473,celebrityapprentice,164
474,ted,164
475,nytimes,164
476,second,163
477,beat,163
478,speak,163
479,allowed,163
480,voting,163
481,twitter,162
482,free,162
483,chance,162
484,ive,161
485,number,161
486,highly,161
487,hoax,161
488,nancy,161
489,9,160
490,leaving,160
491,hate,160
492,pelosi,160
493,congrats,159
494,cut,159
495,wind,159
496,stock,159
497,nyc,158
498,israel,158
499,act,158
500,mess,158
501,hell,158
502,rubio,158
503,fair,157
504,radical,156
505,comey,156
506,barackobamas,155
507,megynkelly,155
508,problems,154
509,buy,154
510,politicians,154
511,foreign,154
512,less,154
513,wish,154
514,race,153
515,federal,153
516,southern,153
517,fun,152
518,event,152
519,control,152
520,move,152
521,winner,152
522,service,152
523,international,151
524,decision,151
525,released,151
526,highest,150
527,ask,150
528,texas,150
529,heading,150
530,joe,149
531,pennsylvania,149
532,welcome,149
533,check,148
534,men,148
535,took,148
536,loved,148
537,mark,147
538,absolutely,147
539,past,147
540,set,146
541,hampshire,146
542,along,145
543,giving,145
544,obamas,145
545,longer,145
546,system,145
547,able,145
548,lives,144
549,monday,144
550,playing,144
551,nobody,144
552,prices,143
553,nuclear,143
554,spent,142
555,gone,142
556,thinking,141
557,oreillyfactor,141
558,immediately,141
559,billions,141
560,trumps,140
561,started,140
562,lies,140
563,watched,139
564,easy,139
565,mind,139
566,try,139
567,schiff,139
568,favorite,138
569,speaking,138
570,virginia,138
571,primary,138
572,global,138
573,perhaps,137
574,j,136
575,taken,136
576,class,136
577,large,136
578,laws,136
579,families,136
580,policy,135
581,built,135
582,asked,134
583,came,134
584,possible,134
585,california,134
586,wonder,133
587,melania,133
588,thousands,133
589,veterans,133
590,visit,133
591,ties,133
592,votes,133
593,russian,133
594,choice,132
595,thoughts,132
596,interest,132
597,mike,132
598,small,132
599,stated,132
600,meet,131
601,action,131
602,horrible,131
603,killed,131
604,false,131
605,fan,130
606,video,130
607,rate,130
608,angry,130
609,wanted,129
610,vegas,129
611,losers,129
612,evening,129
613,trumpdoral,129
614,weekend,128
615,learn,128
616,happened,128
617,knew,128
618,sir,127
619,2nd,127
620,lose,127
621,stories,127
622,james,127
623,forget,126
624,greta,126
625,follow,126
626,information,126
627,turn,126
628,results,126
629,reporting,126
630,west,126
631,ridiculous,126
632,losing,125
633,early,125
634,loser,125
635,correct,125
636,minister,125
637,potus,124
638,level,124
639,haters,124
640,wife,123
641,ny,123
642,amendment,123
643,dumb,123
644,isnt,123
645,young,123
646,david,122
647,maybe,122
648,saw,121
649,seeing,121
650,killing,121
651,continues,121
652,bernie,121
653,tuesday,121
654,prime,121
655,supporters,120
656,heard,120
657,enforcement,120
658,7,119
659,id,119
660,announced,119
661,months,119
662,secretary,119
663,fully,119
664,word,119
665,least,119
666,feel,119
667,voted,119
668,lie,119
669,respected,119
670,beginning,118
671,november,118
672,r,118
673,saturday,117
674,8,117
675,conference,117
676,fire,117
677,release,117
678,cost,117
679,unfair,117
680,based,117
681,starting,116
682,needed,116
683,investigation,116
684,warming,116
685,dangerous,116
686,whitehouse,116
687,instead,115
688,timetogettough,115
689,farmers,115
690,bless,115
691,pres,114
692,comes,114
693,force,114
694,michael,113
695,air,113
696,create,113
697,former,113
698,romney,113
699,understand,113
700,whole,113
701,tune,112
702,workers,112
703,entire,112
704,erictrump,112
705,waste,112
706,mistake,112
707,nations,112
708,dead,112
709,convention,112
710,supreme,112
711,matter,112
712,question,111
713,credit,111
714,voters,111
715,excited,111
716,canada,111
717,wins,111
718,huge,110
719,budget,110
720,drug,110
721,term,110
722,allow,110
723,12,110
724,rigged,110
725,touch,109
726,questions,109
727,growth,109
728,idea,109
729,face,109
730,using,109
731,chris,109
732,everybody,109
733,sense,108
734,candidates,108
735,50,108
736,bigger,108
737,send,107
738,terrific,107
739,children,107
740,gas,107
741,played,107
742,2012,107
743,sorry,107
744,middle,107
745,especially,107
746,happening,107
747,late,106
748,rather,106
749,listen,106
750,charity,106
751,exciting,106
752,robert,106
753,approval,106
754,bob,106
755,lightweight,106
756,scam,106
757,probably,106
758,lots,105
759,quickly,105
760,higher,104
761,spoke,104
762,hopefully,104
763,fraud,104
764,mitt,104
765,chinese,104
766,trumpchicago,104
767,signed,103
768,las,103
769,television,103
770,tweets,103
771,abc,103
772,positive,103
773,destroy,103
774,asking,103
775,negative,103
776,safety,103
777,police,102
778,freedom,102
779,tweet,102
780,congressman,102
781,emails,102
782,paying,102
783,records,102
784,reading,101
785,march,101
786,answer,101
787,worth,101
788,chuck,101
789,boring,101
790,etc,101
791,ukraine,101
792,fed,100
793,intelligence,100
794,elected,100
795,2020,100
796,weeks,99
797,center,99
798,blue,99
799,defense,99
800,pass,99
801,son,99
802,reagan,99
803,glad,99
804,joke,99
805,worked,99
806,final,98
807,article,98
808,kind,98
809,though,98
810,ebola,98
811,obstruction,98
812,dollar,97
813,leave,97
814,policies,97
815,stronger,97
816,presidency,97
817,side,97
818,except,96
819,700,96
820,wisconsin,96
821,alexsalmond,96
822,honored,95
823,raise,95
824,increase,95
825,drugs,95
826,potential,95
827,turbines,95
828,nfl,95
829,todays,94
830,caught,94
831,gretawire,94
832,met,94
833,michigan,94
834,minutes,94
835,putin,94
836,kim,94
837,magazine,93
838,advice,93
839,announce,93
840,trumpvlog,93
841,brand,93
842,paul,93
843,death,93
844,members,93
845,pathetic,93
846,perfect,93
847,process,93
848,thx,93
849,yankees,92
850,hours,92
851,george,92
852,price,92
853,christmas,92
854,dnc,92
855,18,92
856,standing,92
857,facts,92
858,billmaher,92
859,adam,91
860,brought,91
861,donaldjtrumpjr,91
862,failure,91
863,across,91
864,school,91
865,mayor,91
866,waiting,91
867,whistleblower,91
868,beach,90
869,four,90
870,talks,90
871,enemy,90
872,three,90
873,lowest,90
874,arizona,90
875,eric,89
876,agreed,89
877,reform,89
878,treated,89
879,rest,89
880,andrew,89
881,list,88
882,episode,88
883,friday,88
884,whats,88
885,dinner,88
886,company,88
887,leading,88
888,means,88
889,poor,88
890,woman,88
891,gives,88
892,lawyer,88
893,miami,88
894,steve,88
895,line,87
896,street,87
897,15,87
898,talent,87
899,goes,87
900,head,87
901,incompetent,87
902,behind,87
903,historic,87
904,ran,87
905,alabama,87
906,ahead,86
907,staff,86
908,repeal,86
909,turned,86
910,easily,86
911,hearing,86
912,turnberry,86
913,universe,85
914,takes,85
915,prayers,85
916,links,85
917,committee,85
918,lower,85
919,agenda,85
920,bought,85
921,marco,85
922,letterman,84
923,progress,84
924,brave,84
925,laughing,84
926,plans,84
927,20,84
928,legal,84
929,doubt,84
930,confidence,84
931,college,84
932,13,84
933,politician,84
934,judge,84
935,page,83
936,due,83
937,surprise,83
938,youve,83
939,hits,83
940,sadly,83
941,situation,83
942,serious,83
943,piersmorgan,83
944,dream,83
945,points,83
946,either,83
947,carson,83
948,powerful,82
949,message,82
950,16,82
951,putting,82
952,6,82
953,rich,82
954,east,82
955,vp,82
956,ads,82
957,apologize,82
958,view,81
959,university,81
960,pageant,81
961,movement,81
962,award,81
963,helping,81
964,opportunity,81
965,announcement,81
966,strength,81
967,americas,81
968,created,81
969,relationship,81
970,department,81
971,super,81
972,wh,81
973,found,81
974,dopey,81
975,japan,81
976,breitbartnews,81
977,nevada,81
978,reality,80
979,group,80
980,experience,80
981,25,80
982,disgrace,80
983,food,80
984,room,80
985,bringing,80
986,views,80
987,runs,80
988,jebbush,80
989,afraid,79
990,father,79
991,month,79
992,missed,79
993,named,79
994,hurricane,79
995,un,79
996,passed,79
997,excellent,79
998,different,79
999,ag,79
1000,host,78
1001,crisis,78
1002,meetings,78
1003,calls,78
1004,hall,78
1005,issue,78
1006,heart,78
1007,forced,78
1008,brilliant,78
1009,ice,78
1010,bei,78
1011,short,77
1012,rating,77
1013,oh,77
1014,written,77
1015,midas,77
1016,biased,77
1017,tom,77
1018,credibility,77
1019,hurt,77
1020,nato,77
1021,criminal,77
1022,honest,77
1023,daca,77
1024,financial,76
1025,moving,76
1026,et,76
1027,spend,76
1028,businessman,76
1029,anymore,76
1030,reported,76
1031,anyway,76
1032,scott,76
1033,trumpforpresident,76
1034,attorney,76
1035,spectacular,75
1036,comments,75
1037,ad,75
1038,cast,75
1039,trillion,75
1040,calling,75
1041,mean,75
1042,hero,75
1043,sanders,75
1044,website,75
1045,illegally,75
1046,replace,75
1047,jeff,75
1048,funny,74
1049,books,74
1050,omarosa,74
1051,demand,74
1052,private,74
1053,imagine,74
1054,strongly,74
1055,troops,74
1056,mention,74
1057,3rd,74
1058,passion,74
1059,phone,74
1060,outside,74
1061,inspiration,74
1062,king,73
1063,pressure,73
1064,seems,73
1065,cover,73
1066,signing,73
1067,trust,73
1068,lied,73
1069,monster,73
1070,france,73
1071,greatly,73
1072,victims,73
1073,800,73
1074,evidence,73
1075,louisiana,73
1076,enjoyed,72
1077,works,72
1078,fine,72
1079,career,72
1080,racist,72
1081,whether,72
1082,karlrove,72
1083,luxury,72
1084,hand,72
1085,decades,72
1086,often,72
1087,common,72
1088,amnesty,72
1089,received,71
1090,player,71
1091,georgia,71
1092,statements,71
1093,missuniverse,71
1094,looked,71
1095,changed,71
1096,summit,71
1097,sources,71
1098,director,71
1099,opening,70
1100,thursday,70
1101,appreciate,70
1102,sick,70
1103,ideas,70
1104,favor,70
1105,biden,70
1106,benghazi,70
1107,rosie,70
1108,estate,70
1109,turkey,70
1110,red,70
1111,corruption,70
1112,allstar,70
1113,steel,70
1114,illegals,70
1115,dannyzuker,70
1116,plus,69
1117,third,69
1118,sometimes,69
1119,gun,69
1120,terrorist,69
1121,clean,69
1122,involved,69
1123,liberal,69
1124,dummy,69
1125,local,69
1126,immigrants,69
1127,careful,69
1128,dan,69
1129,charge,69
1130,votetrump,69
1131,schumer,69
1132,dossier,69
1133,palm,68
1134,courses,68
1135,resort,68
1136,five,68
1137,wouldnt,68
1138,30,68
1139,sleepy,68
1140,majority,68
1141,chief,68
1142,exactly,68
1143,union,68
1144,chairman,68
1145,beyond,68
1146,sell,68
1147,1st,68
1148,peace,68
1149,heroes,68
1150,whatever,67
1151,park,67
1152,tuned,67
1153,expected,67
1154,june,67
1155,held,67
1156,response,67
1157,sold,67
1158,socalled,67
1159,europe,67
1160,va,67
1161,arod,67
1162,patriots,67
1163,field,67
1164,address,67
1165,picture,67
1166,shot,67
1167,broken,67
1168,health,67
1169,tried,67
1170,offers,67
1171,fall,66
1172,tea,66
1173,fans,66
1174,focused,66
1175,billionaire,66
1176,crowds,66
1177,setting,66
1178,negotiation,66
1179,county,66
1180,seriously,66
1181,melaniatrump,66
1182,ass,66
1183,shirts,66
1184,bills,66
1185,hillaryclinton,66
1186,draintheswamp,66
1187,kevin,65
1188,pick,65
1189,opec,65
1190,sent,65
1191,return,65
1192,manufacturing,65
1193,trouble,65
1194,conservative,65
1195,piece,65
1196,players,65
1197,crimes,65
1198,indiana,65
1199,water,65
1200,ur,65
1201,lady,64
1202,trip,64
1203,raised,64
1204,popular,64
1205,msnbc,64
1206,kelly,64
1207,stopped,64
1208,social,64
1209,definitely,64
1210,celebrate,64
1211,lucky,64
1212,dropped,64
1213,guess,64
1214,agreement,64
1215,courage,64
1216,terrorists,64
1217,mrtrump,64
1218,americafirst,64
1219,ivanka,63
1220,conversation,63
1221,spirit,63
1222,currency,63
1223,shooting,63
1224,prez,63
1225,squawkcnbc,63
1226,simple,63
1227,thinks,63
1228,maralago,63
1229,hold,63
1230,known,63
1231,disgusting,63
1232,mccain,63
1233,peter,63
1234,genius,63
1235,na,63
1236,kasich,63
1237,wishes,62
1238,est,62
1239,community,62
1240,necessary,62
1241,straight,62
1242,clue,62
1243,track,62
1244,attacks,62
1245,730,62
1246,pushing,62
1247,barack,62
1248,reports,62
1249,africa,62
1250,human,62
1251,telling,62
1252,role,62
1253,ok,62
1254,trumptowerny,62
1255,puerto,62
1256,brandiglanville,62
1257,step,61
1258,offer,61
1259,wsj,61
1260,14,61
1261,among,61
1262,clear,61
1263,couldnt,61
1264,later,61
1265,rates,61
1266,whose,61
1267,proven,61
1268,certain,61
1269,advantage,61
1270,arrived,61
1271,brian,61
1272,int,61
1273,rico,61
1274,discuss,60
1275,outstanding,60
1276,collection,60
1277,effort,60
1278,theyre,60
1279,front,60
1280,shes,60
1281,nights,60
1282,1000,60
1283,hey,60
1284,rated,60
1285,san,60
1286,deficit,60
1287,hands,60
1288,sending,60
1289,claims,60
1290,sanctions,60
1291,17,60
1292,hosting,60
